"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3B286OTISEHXUNZQT5EVGULI2TKAJ0","www.funwithasl.net/static/go.mp4","want","go","earth","ill","place","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:10:42 UTC 2014"
"3SCKNODZ0XGBUBSD10U3ZA09A5J7NA","www.funwithasl.net/static/hunt.mp4","brother","hunt","bull","mother","elephant","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:10:14 UTC 2014"
"3HXK2V1N4KFYYIEL8K0DDZA4YDB2GH","www.funwithasl.net/static/auction.mp4","way","done","auction","get","kitchen","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:14:00 UTC 2014"
"3X4Q1O9UBHMTCWSP2FUGEZ0E0FO7OP","www.funwithasl.net/static/onset.mp4","onset","rush","sledge","final","sacrifice","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:15:12 UTC 2014"
"3K3G488TR28HA4RMTZ7N5KHIOABQ51","www.funwithasl.net/static/know.mp4","god","know","time","door","face","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:15:44 UTC 2014"
"3VO4XFFP15MWX855HSMK34VEFG67QX","www.funwithasl.net/static/decline.mp4","bury","decline","amusing","accomplish","cold","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:15:40 UTC 2014"
"3VDVA3ILIDFR9XWPPG0Z8G0Z67XG1E","www.funwithasl.net/static/tomorrow.mp4","fine","tomorrow","father","open","ill","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:15:19 UTC 2014"
"3MJ9GGZYO36XOR1IMK83HDZ10IY2A5","www.funwithasl.net/static/moon.mp4","reindeer","moon","old","sea","figure","A841FR9QWUPT4","Choice 2","Fri Jun 27 04:15:52 UTC 2014"
"35YHTYFL1G31H9GSLAE6XJ73UW4FV3","www.funwithasl.net/static/teddy.mp4","tiger","old","pad","naked","teddy","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:15:53 UTC 2014"
"3GVPRXWRPHUJGAHM4KHBU24SO6P7IU","www.funwithasl.net/static/lobster.mp4","get","right","curious","begin","lobster","A2WNW8A4MOR7T7","Choice 2","Fri Jun 27 04:47:30 UTC 2014"
"34D9ZRXCYRUQTQIGGZN98VC5YCWSAX","www.funwithasl.net/static/window.mp4","away","story","window","eye","tornado","A3760PCQD2MPIO","Choice 3","Fri Jun 27 03:50:45 UTC 2014"
"3VADEH0UHCXXGUOI5I56YQ10XYXSPE","www.funwithasl.net/static/shark.mp4","asthma","tomorrow","shark","hour","study","A3760PCQD2MPIO","Choice 3","Fri Jun 27 03:52:54 UTC 2014"
"3UEDKCTP9VQAM57A4N2N7IJ5GAE7K5","www.funwithasl.net/static/bill.mp4","nothing","make","bill","mouse","dance","A3760PCQD2MPIO","Choice 3","Fri Jun 27 03:53:38 UTC 2014"
"3HXK2V1N4KFYYIEL8K0DDZA4YDBG2V","www.funwithasl.net/static/page.mp4","size","but","page","day","hippopotamus","A3760PCQD2MPIO","Choice 3","Fri Jun 27 03:55:10 UTC 2014"
"31HLTCK4BLV7V9CNWUKOF47FVB4VGI","www.funwithasl.net/static/drawer.mp4","mushroom","knee","drawer","medicine","room","A3760PCQD2MPIO","Choice 3","Fri Jun 27 03:54:52 UTC 2014"
"3A9LA2FRWSEDZUCTGF3OOPG1QMPHX6","www.funwithasl.net/static/margin.mp4","pitch","sweetheart","peace","margin","eagle","A2P6VK1US8OTC5","Choice 3","Fri Jun 27 03:57:59 UTC 2014"
"341YLJU21IZCU9KGY80GYBNKDQ32I9","www.funwithasl.net/static/child.mp4","tiger","chapter","child","room","time","AIQB7XXL5K2FR","Choice 3","Fri Jun 27 03:58:34 UTC 2014"
"3SU800BH86SYVJH1U0FVDW9YNR3UQM","www.funwithasl.net/static/her.mp4","her","come","go","stairs","next","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 03:57:32 UTC 2014"
"3BO3NEOQM0H1ZCFKBNTV4T6IPEVAIO","www.funwithasl.net/static/atmosphere.mp4","atmosphere","final","rattle","grass","price","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:00:06 UTC 2014"
"3XQ4XW3OD9C1ONNC3KUU2DT7MO4S2Q","www.funwithasl.net/static/inspire.mp4","travel","equal","december","bank","inspire","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 03:58:55 UTC 2014"
