"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3FSEU3P2NR06RS4K3L9QDBWJCE1RRG","www.funwithasl.net/static/bill.mp4","nothing","make","bill","mouse","dance","A2M18L7COHRV57","Word 3","Fri Jun 27 00:20:39 UTC 2014"
"3KLL7H3EGD1LV57YG02604JGABHHV3","www.funwithasl.net/static/go.mp4","better","chance","hand","go","back","A2M18L7COHRV57","Word 4","Fri Jun 27 00:13:42 UTC 2014"
"3PEG1BH7AERXOHA0H4E3CK51Z04BKU","www.funwithasl.net/static/river.mp4","vulture","landscape","pelican","river","shoes","A2WNW8A4MOR7T7","Word 4","Fri Jun 27 00:13:14 UTC 2014"
"33NKDW9FFXIMIM1DUNPNDYJLDUKCXS","www.funwithasl.net/static/medicine.mp4","mermaid","medicine","pirate","yes","say","A2WNW8A4MOR7T7","Word 4","Fri Jun 27 00:14:49 UTC 2014"
"3WUVMVA7OB3NU24UBRHH4O98LRWZA9","www.funwithasl.net/static/yes.mp4","boy","complain","hand","yes","moment","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:15:10 UTC 2014"
"3LN3BXKGC0VKAYCSM4PK16QT2K5GWC","www.funwithasl.net/static/bad.mp4","box","voice","ill","pat","bad","A2M18L7COHRV57","Word 4","Fri Jun 27 00:15:25 UTC 2014"
"3ZZAYRN1I6RGAUPWFIXHJVSWPCEOTH","www.funwithasl.net/static/bell.mp4","bell","voice","hand","tell","room","A2WNW8A4MOR7T7","Word 4","Fri Jun 27 00:17:47 UTC 2014"
"3EQVJH0T40L6ID39B52RZMVVDQ1HTN","www.funwithasl.net/static/squirrel.mp4","leaf","forest","shoes","squirrel","sky","A2M18L7COHRV57","Word 4","Fri Jun 27 00:16:57 UTC 2014"
"3B9XR6P1WEV2DX4IZJERB55OKB4BJV","www.funwithasl.net/static/curious.mp4","nothing","large","round","curious","soup","AO3XB5I5QNNUI","Word 4","Fri Jun 27 00:16:30 UTC 2014"
"3DFYDSXB2W0H9WDOZAVMGVXC9WBJUK","www.funwithasl.net/static/pan.mp4","chapter","bell","arm","room","pan","A2M18L7COHRV57","Word 4","Fri Jun 27 00:17:59 UTC 2014"
"3DZKABX2ZI5UEXWIU8O5PDM0XJCCVP","www.funwithasl.net/static/bed.mp4","course","yes","sound","bed","onset","A2M18L7COHRV57","Word 4","Fri Jun 27 00:16:40 UTC 2014"
"3R5LWXWHR08ZZYHIW9L63P40BMBGX5","www.funwithasl.net/static/old.mp4","gate","get","license","old","place","A2M18L7COHRV57","Word 4","Fri Jun 27 00:19:09 UTC 2014"
"3XUSYT70IT1OQO1GR7VROQESONBD0Y","www.funwithasl.net/static/mitten.mp4","river","woman","mitten","craft","hand","A2M18L7COHRV57","Word 4","Fri Jun 27 00:19:22 UTC 2014"
