"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3D42WVSDH8VIL3BXQL1Q4IBXCKXYF0","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A3HB9PPUZU565U","Choice 3","Tue Jul 08 05:32:57 UTC 2014"
"3ZURAPD288NLVX0UEWUHQV0N5ZP1F6","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:37:03 UTC 2014"
"3VAOOVPI3ZSKLWEUTHFY5NEL01FLL0","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:50:28 UTC 2014"
"35U0MRQMUJ7VNMTLKDXWKDGHM4MOV3","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:56:10 UTC 2014"
"3T2HW4QDUV7WHQJFR7J9XVX36YL9CC","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A1IV0802ICNA0A","Choice 4","Tue Jul 08 06:34:48 UTC 2014"
"3NFWQRSHVEEIZCQXWFFKXI4T7O7GFK","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:23:07 UTC 2014"
"3YGE63DIN8XNZU17820HGE3DVA8W0V","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A841FR9QWUPT4","Choice 2","Tue Jul 08 05:32:02 UTC 2014"
"3OND0WXMHWF4TULCLADW00VUAN6EH0","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:54:36 UTC 2014"
"3JY0Q5X05J6ODCMS7ZL2F345837GGJ","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:59:26 UTC 2014"

"3K2CEDRACB1SAR4K22I4RR3RUJRTMD","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1GGOZPHYU0OC0","Choice 2","Tue Jul 08 06:39:12 UTC 2014"
