"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"31MCUE39BKMNJ0A4CKEIW9FW4SWG3T","www.funwithasl.net/static/sign18.mp4","away","bed","boy","hand","eye","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:38:12 UTC 2014"
"34R0BODSP1ZSD11HK8CNB3S45885ER","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:41:36 UTC 2014"
"3XABXM4AJ150XMAORXEQH4R9Q1XQ8Q","www.funwithasl.net/static/sign5.mp4","key","tea","cat","ill","lesson","AKFH16PLQSYHY","Choice 2","Sat Jun 28 05:57:45 UTC 2014"
"36QZ6V1589DA8ZWEM4408WOZ5GASUX","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","AKFH16PLQSYHY","Choice 2","Sat Jun 28 05:58:44 UTC 2014"
"3TD33TP5DL2RC41E5D1EI625UPWAB2","www.funwithasl.net/static/sign7.mp4","guess","school","want","back","try","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:12:20 UTC 2014"
"38VTL6WC4ADQJ6I8K9OHI6KKNKDY5Z","www.funwithasl.net/static/sign20.mp4","sleigh","bread","shoot","cottage","wife","A1SUU1QIRDZXJC","Choice 2","Sat Jun 28 10:48:54 UTC 2014"
"3Y7LTZE0YTM79BISHWY84PL2SV9ZU8","www.funwithasl.net/static/sign17.mp4","music","sand","nothing","know","people","A1SUU1QIRDZXJC","Choice 2","Sat Jun 28 10:47:49 UTC 2014"
"3MNJFORX8B4KJF1DFJWTTLD4H9N5F9","www.funwithasl.net/static/sign14.mp4","good","milk","bag","tomorrow","grandmother","A1SUU1QIRDZXJC","Choice 2","Sat Jun 28 10:52:26 UTC 2014"
"3J6BHNX0U9SZPQZXKUJC3F5VGQ4NKJ","www.funwithasl.net/static/sign12.mp4","white","good","keep","talk","tea","A3760PCQD2MPIO","Choice 3","Sat Jun 28 06:42:33 UTC 2014"
"3J94SKDEKIPNLVNHOD135LAJ5W75DY","www.funwithasl.net/static/sign2.mp4","bat","mother","home","bicycle","put","A1SUU1QIRDZXJC","Choice 3","Sat Jun 28 10:48:43 UTC 2014"
"3VO4XFFP15MWX855HSMK34VEFHR7QK","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:39:55 UTC 2014"
"3BFF0DJK8XCV8MHPMZEQ302XM23ST6","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:40:12 UTC 2014"
"3YGE63DIN8XNZU17820HGE3DV430WI","www.funwithasl.net/static/sign15.mp4","noble","come","brave","happen","dog","AKFH16PLQSYHY","Choice 4","Sat Jun 28 05:58:19 UTC 2014"
"39O0SQZVJN7W99K5U7BK8U5JB3T7RL","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","A1SUU1QIRDZXJC","Choice 4","Sat Jun 28 10:47:37 UTC 2014"
"3PA41K45VN4BXW4QHF7V3Z54AL57PT","www.funwithasl.net/static/sign8.mp4","know","chance","rest","accident","poor","A5A9QE4W8X1UI","Choice 5","Sat Jun 28 06:34:24 UTC 2014"
"3OCZWXS7ZO76J7B91UZROYIOE59L5U","www.funwithasl.net/static/sign11.mp4","sky","forest","soft","sorrow","bring","A1GKEEI844CEKI","Choice 5","Sat Jun 28 12:37:31 UTC 2014"
"3WRBLBQ2GR8R28B7TXWZUBHP1GCG0Y","www.funwithasl.net/static/sign6.mp4","kid","white","little","curious","begin","AKFH16PLQSYHY","Choice 1","Sat Jun 28 05:59:22 UTC 2014"
"3UOMW19E6D6DG3H3OH6SLFS1KWV5CY","www.funwithasl.net/static/sign10.mp4","wish","breakfast","justice","people","house","A1SUU1QIRDZXJC","Choice 1","Sat Jun 28 10:49:08 UTC 2014"
"3RBI0I35XE3N5RV46Q0O39M09OMY39","www.funwithasl.net/static/sign12.mp4","white","good","keep","talk","tea","A1SUU1QIRDZXJC","Choice 1","Sat Jun 28 10:50:53 UTC 2014"
"3PR3LXCWSFZKKOUAI3FWB8ID7A1X9I","www.funwithasl.net/static/sign16.mp4","bird","fly","alone","leaf","cool","A1SUU1QIRDZXJC","Choice 1","Sat Jun 28 10:52:37 UTC 2014"
"351S7I5UG9W4E6TF29J0205I114NJK","www.funwithasl.net/static/sign18.mp4","away","bed","boy","hand","eye","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:34:22 UTC 2014"
"341YLJU21IZCU9KGY80GYBNKDRO2IW","www.funwithasl.net/static/sign9.mp4","done","home","aunt","alone","farm","A1GKEEI844CEKI","Choice 1","Sat Jun 28 12:42:10 UTC 2014"
"3NSCTNUR2ZNPNOK543A1FK2DKTA5AW","www.funwithasl.net/static/sign5.mp4","key","tea","cat","ill","lesson","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:11:06 UTC 2014"
"3WKGUBL7SZMONO79NPGHJ6CAE9EL4P","www.funwithasl.net/static/sign1.mp4","dinner","grandfather","everything","last","room","AKFH16PLQSYHY","Choice 2","Sat Jun 28 06:11:44 UTC 2014"
"3XUSYT70IT1OQO1GR7VROQESOOWD0L","www.funwithasl.net/static/sign8.mp4","know","chance","rest","accident","poor","A5A9QE4W8X1UI","Choice 2","Sat Jun 28 06:35:11 UTC 2014"
"3G3AJKPCXLS8NNE86457DEE6NOIY4U","www.funwithasl.net/static/sign17.mp4","music","sand","nothing","know","people","A1SUU1QIRDZXJC","Choice 2","Sat Jun 28 10:49:40 UTC 2014"
"31MCUE39BKMNJ0A4CKEIW9FW4SX3GH","www.funwithasl.net/static/sign14.mp4","good","milk","bag","tomorrow","grandmother","A1SUU1QIRDZXJC","Choice 2","Sat Jun 28 10:50:16 UTC 2014"
"3X4Q1O9UBHMTCWSP2FUGEZ0E0G97OC","www.funwithasl.net/static/sign20.mp4","sleigh","bread","shoot","cottage","wife","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:33:27 UTC 2014"
"3VO4XFFP15MWX855HSMK34VEFHRQ73","www.funwithasl.net/static/sign15.mp4","noble","come","brave","happen","dog","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:34:50 UTC 2014"
"35NNO802AVW8JV99KRY0QZQIOMFNI8","www.funwithasl.net/static/sign3.mp4","sister","get","see","form","bag","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:43:53 UTC 2014"
"3TKXBROM5TAC05IO5T68XS91F2AIJZ","www.funwithasl.net/static/sign2.mp4","bat","mother","home","bicycle","put","A1GKEEI844CEKI","Choice 2","Sat Jun 28 12:44:53 UTC 2014"
"3VDVA3ILIDFR9XWPPG0Z8G0Z68IG11","www.funwithasl.net/static/sign11.mp4","sky","forest","soft","sorrow","bring","AKFH16PLQSYHY","Choice 3","Sat Jun 28 06:14:18 UTC 2014"
"3FDWKV9VCN27A4J9278EWNPTDRRUMM","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:34:07 UTC 2014"
"371Q3BEXDH9RUYQOSR38PO3E7YOZSS","www.funwithasl.net/static/sign13.mp4","shadow","object","sea","save","effort","A1GKEEI844CEKI","Choice 3","Sat Jun 28 12:41:10 UTC 2014"
"33W1NHWFYHLS9Y33HR8YZTZ09H2ZTH","www.funwithasl.net/static/sign19.mp4","read","pray","old","morning","stay","AKFH16PLQSYHY","Choice 5","Sat Jun 28 06:02:29 UTC 2014"
"3NZ1E5QA6Z1U6YPXAHAXAVMJ2BV5BR","www.funwithasl.net/static/sign7.mp4","guess","school","want","back","try","A5A9QE4W8X1UI","Choice 5","Sat Jun 28 06:36:00 UTC 2014"
"3SCKNODZ0XGBUBSD10U3ZA09A647NX","www.funwithasl.net/static/sign4.mp4","boy","grow","bald","hungry","prince","AKFH16PLQSYHY","Choice 1","Sat Jun 28 06:10:58 UTC 2014"
